transcript_id	contig	biotype	readthrough_tra	class
ENST00000414422	1	processed_transcript	1	readthrough
ENST00000415116	20	nonsense_mediated_decay	1	readthrough
ENST00000415204	3	protein_coding	1	readthrough
ENST00000415705	19	processed_transcript	1	readthrough
ENST00000415992	9	retained_intron	1	readthrough
ENST00000417470	10	nonsense_mediated_decay	1	readthrough
ENST00000417761	15	nonsense_mediated_decay	1	readthrough
ENST00000418047	22	nonsense_mediated_decay	1	readthrough
ENST00000418093	3	processed_transcript	1	readthrough
ENST00000418163	3	nonsense_mediated_decay	1	readthrough
ENST00000418265	3	protein_coding	1	readthrough
ENST00000418400	10	processed_transcript	1	readthrough
ENST00000419137	3	protein_coding	1	readthrough
ENST00000419593	20	nonsense_mediated_decay	1	readthrough
ENST00000419755	11	protein_coding	1	readthrough
ENST00000420171	22	lincRNA	1	readthrough
ENST00000420470	4	protein_coding	1	readthrough
ENST00000421064	22	processed_transcript	1	readthrough
ENST00000421355	11	nonsense_mediated_decay	1	readthrough
ENST00000421600	6	nonsense_mediated_decay	1	readthrough
ENST00000421686	9	nonsense_mediated_decay	1	readthrough
ENST00000421990	17	protein_coding	1	readthrough
ENST00000422081	X	protein_coding	1	readthrough
ENST00000422269	2	nonsense_mediated_decay	1	readthrough
ENST00000422304	7	processed_transcript	1	readthrough
ENST00000422437	6	nonsense_mediated_decay	1	readthrough
ENST00000422506	22	processed_transcript	1	readthrough
ENST00000422761	2	antisense	1	readthrough
ENST00000422974	11	nonsense_mediated_decay	1	readthrough
ENST00000423580	22	processed_transcript	1	readthrough
ENST00000423601	17	nonsense_mediated_decay	1	readthrough
ENST00000423730	6	nonsense_mediated_decay	1	readthrough
ENST00000423733	20	processed_transcript	1	readthrough
ENST00000423913	22	processed_transcript	1	readthrough
ENST00000424442	3	nonsense_mediated_decay	1	readthrough
ENST00000424460	7	antisense	1	readthrough
ENST00000424491	2	nonsense_mediated_decay	1	readthrough
ENST00000425211	17	processed_transcript	1	readthrough
ENST00000425300	1	nonsense_mediated_decay	1	readthrough
ENST00000426066	22	processed_transcript	1	readthrough
ENST00000426261	17	processed_transcript	1	readthrough
ENST00000426595	7	protein_coding	1	readthrough
ENST00000427076	7	processed_transcript	1	readthrough
ENST00000427113	X	processed_transcript	1	readthrough
ENST00000427229	10	processed_transcript	1	readthrough
ENST00000427497	17	nonsense_mediated_decay	1	readthrough
ENST00000427721	11	protein_coding	1	readthrough
ENST00000428311	19	protein_coding	1	readthrough
ENST00000428358	19	protein_coding	1	readthrough
ENST00000428388	6	nonsense_mediated_decay	1	readthrough
ENST00000429234	6	protein_coding	1	readthrough
ENST00000429238	21	protein_coding	1	readthrough
ENST00000429320	7	processed_transcript	1	readthrough
ENST00000429354	19	protein_coding	1	readthrough
ENST00000429936	X	protein_coding	1	readthrough
ENST00000430024	19	nonsense_mediated_decay	1	readthrough
ENST00000430357	22	processed_transcript	1	readthrough
ENST00000430850	8	protein_coding	1	readthrough
ENST00000430982	7	protein_coding	1	readthrough
ENST00000431060	15	processed_transcript	1	readthrough
ENST00000431216	21	protein_coding	1	readthrough
ENST00000431308	17	processed_transcript	1	readthrough
ENST00000431391	3	nonsense_mediated_decay	1	readthrough
ENST00000431696	1	protein_coding	1	readthrough
ENST00000431840	10	processed_transcript	1	readthrough
ENST00000432231	21	nonsense_mediated_decay	1	readthrough
ENST00000432920	1	protein_coding	1	readthrough
ENST00000433214	10	processed_transcript	1	readthrough
ENST00000433395	21	protein_coding	1	readthrough
ENST00000433579	7	nonsense_mediated_decay	1	readthrough
ENST00000433835	22	protein_coding	1	readthrough
ENST00000434291	22	protein_coding	1	readthrough
ENST00000434822	19	nonsense_mediated_decay	1	readthrough
ENST00000434893	22	processed_transcript	1	readthrough
ENST00000434987	22	nonsense_mediated_decay	1	readthrough
ENST00000435033	19	nonsense_mediated_decay	1	readthrough
ENST00000435035	16	protein_coding	1	readthrough
ENST00000435202	9	nonsense_mediated_decay	1	readthrough
ENST00000435837	19	protein_coding	1	readthrough
ENST00000437082	3	nonsense_mediated_decay	1	readthrough
ENST00000437495	5	protein_coding	1	readthrough
ENST00000437572	7	processed_transcript	1	readthrough
ENST00000437723	15	protein_coding	1	readthrough
ENST00000438485	2	protein_coding	1	readthrough
ENST00000439023	22	protein_coding	1	readthrough
ENST00000439343	6	nonsense_mediated_decay	1	readthrough
ENST00000439838	22	protein_coding	1	readthrough
ENST00000440026	17	processed_transcript	1	readthrough
ENST00000440757	2	protein_coding	1	readthrough
ENST00000441563	20	nonsense_mediated_decay	1	readthrough
ENST00000441880	X	processed_transcript	1	readthrough
ENST00000442578	7	processed_transcript	1	readthrough
ENST00000442633	3	nonsense_mediated_decay	1	readthrough
ENST00000442788	7	nonsense_mediated_decay	1	readthrough
ENST00000443313	3	nonsense_mediated_decay	1	readthrough
ENST00000444180	10	processed_transcript	1	readthrough
ENST00000444297	2	protein_coding	1	readthrough
ENST00000444431	10	processed_transcript	1	readthrough
ENST00000444486	19	protein_coding	1	readthrough
ENST00000444717	20	antisense	1	readthrough
ENST00000444874	7	processed_transcript	1	readthrough
ENST00000445041	11	protein_coding	1	readthrough
ENST00000445682	22	processed_transcript	1	readthrough
ENST00000446085	19	protein_coding	1	readthrough
ENST00000446977	3	protein_coding	1	readthrough
ENST00000447639	2	antisense	1	readthrough
ENST00000447839	10	protein_coding	1	readthrough
ENST00000447849	8	protein_coding	1	readthrough
ENST00000447976	22	nonsense_mediated_decay	1	readthrough
ENST00000448145	19	protein_coding	1	readthrough
ENST00000448282	6	nonsense_mediated_decay	1	readthrough
ENST00000448331	17	nonsense_mediated_decay	1	readthrough
ENST00000448979	12	retained_intron	1	readthrough
ENST00000449191	2	nonsense_mediated_decay	1	readthrough
ENST00000449545	6	processed_transcript	1	readthrough
ENST00000449759	16	protein_coding	1	readthrough
ENST00000449891	2	nonsense_mediated_decay	1	readthrough
ENST00000450043	7	protein_coding	1	readthrough
ENST00000450534	3	nonsense_mediated_decay	1	readthrough
ENST00000450780	8	protein_coding	1	readthrough
ENST00000451002	7	nonsense_mediated_decay	1	readthrough
ENST00000451138	7	nonsense_mediated_decay	1	readthrough
ENST00000451200	3	processed_transcript	1	readthrough
ENST00000451298	13	processed_transcript	1	readthrough
ENST00000451381	7	processed_transcript	1	readthrough
ENST00000451608	2	nonsense_mediated_decay	1	readthrough
ENST00000451837	22	processed_transcript	1	readthrough
ENST00000451973	19	nonsense_mediated_decay	1	readthrough
ENST00000452015	14	protein_coding	1	readthrough
ENST00000452032	19	nonsense_mediated_decay	1	readthrough
ENST00000452133	20	nonsense_mediated_decay	1	readthrough
ENST00000452392	6	protein_coding	1	readthrough
ENST00000452668	22	processed_transcript	1	readthrough
ENST00000452737	22	processed_transcript	1	readthrough
ENST00000452752	17	protein_coding	1	readthrough
ENST00000453130	2	nonsense_mediated_decay	1	readthrough
ENST00000453498	13	processed_transcript	1	readthrough
ENST00000453634	22	nonsense_mediated_decay	1	readthrough
ENST00000453656	6	processed_transcript	1	readthrough
ENST00000453770	20	unprocessed_pseudogene	1	readthrough
ENST00000453882	3	protein_coding	1	readthrough
ENST00000454337	16	nonsense_mediated_decay	1	readthrough
ENST00000454552	22	nonsense_mediated_decay	1	readthrough
ENST00000454572	7	processed_transcript	1	readthrough
ENST00000454607	20	nonsense_mediated_decay	1	readthrough
ENST00000455236	22	nonsense_mediated_decay	1	readthrough
ENST00000455485	22	processed_transcript	1	readthrough
ENST00000455584	17	protein_coding	1	readthrough
ENST00000455905	7	nonsense_mediated_decay	1	readthrough
ENST00000456368	19	lincRNA	1	readthrough
ENST00000456570	6	protein_coding	1	readthrough
ENST00000456614	9	protein_coding	1	readthrough
ENST00000456726	22	processed_transcript	1	readthrough
ENST00000458187	20	nonsense_mediated_decay	1	readthrough
ENST00000458257	7	nonsense_mediated_decay	1	readthrough
ENST00000459742	7	processed_transcript	1	readthrough
ENST00000459916	2	processed_transcript	1	readthrough
ENST00000459985	9	retained_intron	1	readthrough
ENST00000460155	1	retained_intron	1	readthrough
ENST00000460606	16	nonsense_mediated_decay	1	readthrough
ENST00000460692	6	processed_transcript	1	readthrough
ENST00000460962	15	nonsense_mediated_decay	1	readthrough
ENST00000461160	14	sense_overlapping	1	readthrough
ENST00000461287	6	protein_coding	1	readthrough
ENST00000461502	13	processed_transcript	1	readthrough
ENST00000461548	20	nonsense_mediated_decay	1	readthrough
ENST00000461783	6	protein_coding	1	readthrough
ENST00000462662	7	processed_transcript	1	readthrough
ENST00000463409	10	processed_transcript	1	readthrough
ENST00000463717	15	nonsense_mediated_decay	1	readthrough
ENST00000463721	3	nonsense_mediated_decay	1	readthrough
ENST00000463937	3	protein_coding	1	readthrough
ENST00000464330	11	nonsense_mediated_decay	1	readthrough
ENST00000464428	1	retained_intron	1	readthrough
ENST00000464495	6	nonsense_mediated_decay	1	readthrough
ENST00000465026	1	processed_transcript	1	readthrough
ENST00000465127	X	protein_coding	1	readthrough
ENST00000466369	15	processed_transcript	1	readthrough
ENST00000466953	1	retained_intron	1	readthrough
ENST00000467211	20	protein_coding	1	readthrough
ENST00000467897	7	processed_transcript	1	readthrough
ENST00000468030	1	nonsense_mediated_decay	1	readthrough
ENST00000468317	10	protein_coding	1	readthrough
ENST00000468381	17	processed_transcript	1	readthrough
ENST00000468472	3	nonsense_mediated_decay	1	readthrough
ENST00000468886	15	nonsense_mediated_decay	1	readthrough
ENST00000470413	1	protein_coding	1	readthrough
ENST00000470694	1	nonsense_mediated_decay	1	readthrough
ENST00000470714	7	processed_transcript	1	readthrough
ENST00000470747	7	protein_coding	1	readthrough
ENST00000471038	1	processed_transcript	1	readthrough
ENST00000471502	9	retained_intron	1	readthrough
ENST00000471530	12	nonsense_mediated_decay	1	readthrough
ENST00000471537	3	processed_transcript	1	readthrough
ENST00000471563	15	nonsense_mediated_decay	1	readthrough
ENST00000472233	1	processed_transcript	1	readthrough
ENST00000472413	16	processed_transcript	1	readthrough
ENST00000472539	16	processed_transcript	1	readthrough
ENST00000472646	7	processed_transcript	1	readthrough
ENST00000472726	14	protein_coding	1	readthrough
ENST00000472836	11	nonsense_mediated_decay	1	readthrough
ENST00000473298	6	nonsense_mediated_decay	1	readthrough
ENST00000473363	1	protein_coding	1	readthrough
ENST00000473572	19	retained_intron	1	readthrough
ENST00000474060	5	retained_intron	1	readthrough
ENST00000474293	6	processed_transcript	1	readthrough
ENST00000475242	20	processed_transcript	1	readthrough
ENST00000475252	10	nonsense_mediated_decay	1	readthrough
ENST00000475460	10	protein_coding	1	readthrough
ENST00000475917	6	processed_transcript	1	readthrough
ENST00000476036	15	processed_transcript	1	readthrough
ENST00000476049	17	nonsense_mediated_decay	1	readthrough
ENST00000476085	6	nonsense_mediated_decay	1	readthrough
ENST00000476151	7	nonsense_mediated_decay	1	readthrough
ENST00000476221	20	processed_transcript	1	readthrough
ENST00000476274	9	processed_transcript	1	readthrough
ENST00000476620	7	protein_coding	1	readthrough
ENST00000476809	3	protein_coding	1	readthrough
ENST00000477091	21	processed_transcript	1	readthrough
ENST00000477282	15	nonsense_mediated_decay	1	readthrough
ENST00000477288	6	retained_intron	1	readthrough
ENST00000477310	6	protein_coding	1	readthrough
ENST00000477724	14	nonsense_mediated_decay	1	readthrough
ENST00000478201	3	nonsense_mediated_decay	1	readthrough
ENST00000479001	6	retained_intron	1	readthrough
ENST00000479633	10	nonsense_mediated_decay	1	readthrough
ENST00000479961	15	protein_coding	1	readthrough
ENST00000480131	6	nonsense_mediated_decay	1	readthrough
ENST00000480135	7	processed_transcript	1	readthrough
ENST00000480273	20	retained_intron	1	readthrough
ENST00000480294	6	nonsense_mediated_decay	1	readthrough
ENST00000480336	1	nonsense_mediated_decay	1	readthrough
ENST00000480584	9	processed_transcript	1	readthrough
ENST00000481427	17	nonsense_mediated_decay	1	readthrough
ENST00000481756	17	nonsense_mediated_decay	1	readthrough
ENST00000481848	6	nonsense_mediated_decay	1	readthrough
ENST00000481893	7	processed_transcript	1	readthrough
ENST00000482026	2	protein_coding	1	readthrough
ENST00000482796	9	protein_coding	1	readthrough
ENST00000482814	15	nonsense_mediated_decay	1	readthrough
ENST00000482936	20	nonsense_mediated_decay	1	readthrough
ENST00000483208	15	processed_transcript	1	readthrough
ENST00000483329	7	processed_transcript	1	readthrough
ENST00000483543	X	retained_intron	1	readthrough
ENST00000483578	16	lincRNA	1	readthrough
ENST00000483754	3	nonsense_mediated_decay	1	readthrough
ENST00000484300	15	processed_transcript	1	readthrough
ENST00000484413	1	processed_transcript	1	readthrough
ENST00000485079	1	protein_coding	1	readthrough
ENST00000485419	3	protein_coding	1	readthrough
ENST00000486081	3	nonsense_mediated_decay	1	readthrough
ENST00000486324	7	processed_transcript	1	readthrough
ENST00000486740	X	processed_transcript	1	readthrough
ENST00000487292	15	nonsense_mediated_decay	1	readthrough
ENST00000487368	3	processed_transcript	1	readthrough
ENST00000487874	1	nonsense_mediated_decay	1	readthrough
ENST00000488000	15	retained_intron	1	readthrough
ENST00000488175	15	nonsense_mediated_decay	1	readthrough
ENST00000488257	3	processed_transcript	1	readthrough
ENST00000488492	21	processed_transcript	1	readthrough
ENST00000488671	2	processed_transcript	1	readthrough
ENST00000488788	20	protein_coding	1	readthrough
ENST00000488933	14	sense_overlapping	1	readthrough
ENST00000489125	10	protein_coding	1	readthrough
ENST00000489595	3	protein_coding	1	readthrough
ENST00000490491	1	protein_coding	1	readthrough
ENST00000490594	3	protein_coding	1	readthrough
ENST00000490623	20	nonsense_mediated_decay	1	readthrough
ENST00000490848	15	retained_intron	1	readthrough
ENST00000491114	10	nonsense_mediated_decay	1	readthrough
ENST00000491552	6	processed_transcript	1	readthrough
ENST00000491746	15	retained_intron	1	readthrough
ENST00000492259	20	nonsense_mediated_decay	1	readthrough
ENST00000492556	22	retained_intron	1	readthrough
ENST00000493662	6	nonsense_mediated_decay	1	readthrough
ENST00000493710	7	processed_transcript	1	readthrough
ENST00000493771	19	retained_intron	1	readthrough
ENST00000494072	1	nonsense_mediated_decay	1	readthrough
ENST00000494383	3	protein_coding	1	readthrough
ENST00000494792	10	nonsense_mediated_decay	1	readthrough
ENST00000494999	15	processed_transcript	1	readthrough
ENST00000495214	17	nonsense_mediated_decay	1	readthrough
ENST00000495250	22	retained_intron	1	readthrough
ENST00000495552	3	retained_intron	1	readthrough
ENST00000495723	15	processed_transcript	1	readthrough
ENST00000495847	14	sense_overlapping	1	readthrough
ENST00000496101	15	nonsense_mediated_decay	1	readthrough
ENST00000496281	20	retained_intron	1	readthrough
ENST00000496604	3	processed_transcript	1	readthrough
ENST00000496627	15	nonsense_mediated_decay	1	readthrough
ENST00000496634	11	nonsense_mediated_decay	1	readthrough
ENST00000497086	1	processed_transcript	1	readthrough
ENST00000497128	3	retained_intron	1	readthrough
ENST00000498285	17	protein_coding	1	readthrough
ENST00000498473	6	nonsense_mediated_decay	1	readthrough
ENST00000498475	2	processed_transcript	1	readthrough
ENST00000498652	7	processed_transcript	1	readthrough
ENST00000500635	11	protein_coding	1	readthrough
ENST00000502574	15	retained_intron	1	readthrough
ENST00000502978	9	protein_coding	1	readthrough
ENST00000503322	6	protein_coding	1	readthrough
ENST00000503445	5	processed_transcript	1	readthrough
ENST00000503906	6	nonsense_mediated_decay	1	readthrough
ENST00000504329	3	protein_coding	1	readthrough
ENST00000504764	2	protein_coding	1	readthrough
ENST00000504988	20	protein_coding	1	readthrough
ENST00000505052	2	protein_coding	1	readthrough
ENST00000505139	1	protein_coding	1	readthrough
ENST00000505802	6	nonsense_mediated_decay	1	readthrough
ENST00000505973	2	processed_transcript	1	readthrough
ENST00000506607	4	protein_coding	1	readthrough
ENST00000506888	6	processed_transcript	1	readthrough
ENST00000506997	5	nonsense_mediated_decay	1	readthrough
ENST00000507363	19	processed_transcript	1	readthrough
ENST00000507747	6	protein_coding	1	readthrough
ENST00000507897	6	nonsense_mediated_decay	1	readthrough
ENST00000508163	4	processed_transcript	1	readthrough
ENST00000508671	12	antisense	1	readthrough
ENST00000509024	5	retained_intron	1	readthrough
ENST00000509111	4	protein_coding	1	readthrough
ENST00000509345	X	processed_transcript	1	readthrough
ENST00000509377	4	nonsense_mediated_decay	1	readthrough
ENST00000509504	7	protein_coding	1	readthrough
ENST00000510514	9	protein_coding	1	readthrough
ENST00000510807	4	transcribed_unprocessed_pseudogene	1	readthrough
ENST00000511114	11	processed_transcript	1	readthrough
ENST00000511166	13	protein_coding	1	readthrough
ENST00000511954	11	processed_transcript	1	readthrough
ENST00000512206	12	processed_transcript	1	readthrough
ENST00000512790	5	processed_transcript	1	readthrough
ENST00000513170	3	protein_coding	1	readthrough
ENST00000513191	6	processed_transcript	1	readthrough
ENST00000513209	12	protein_coding	1	readthrough
ENST00000513520	3	processed_transcript	1	readthrough
ENST00000513556	6	protein_coding	1	readthrough
ENST00000513963	2	protein_coding	1	readthrough
ENST00000514019	4	protein_coding	1	readthrough
ENST00000514073	4	processed_transcript	1	readthrough
ENST00000514140	4	protein_coding	1	readthrough
ENST00000514365	4	nonsense_mediated_decay	1	readthrough
ENST00000514466	3	protein_coding	1	readthrough
ENST00000514548	5	retained_intron	1	readthrough
ENST00000514667	5	protein_coding	1	readthrough
ENST00000514819	19	protein_coding	1	readthrough
ENST00000514917	7	protein_coding	1	readthrough
ENST00000515604	4	protein_coding	1	readthrough
ENST00000515632	22	protein_coding	1	readthrough
ENST00000515869	10	protein_coding	1	readthrough
ENST00000517296	22	protein_coding	1	readthrough
ENST00000518227	16	nonsense_mediated_decay	1	readthrough
ENST00000518409	5	processed_transcript	1	readthrough
ENST00000518506	17	nonsense_mediated_decay	1	readthrough
ENST00000518753	16	nonsense_mediated_decay	1	readthrough
ENST00000519289	8	protein_coding	1	readthrough
ENST00000519541	7	nonsense_mediated_decay	1	readthrough
ENST00000519718	5	protein_coding	1	readthrough
ENST00000520044	8	processed_transcript	1	readthrough
ENST00000520401	5	nonsense_mediated_decay	1	readthrough
ENST00000520515	5	retained_intron	1	readthrough
ENST00000521945	14	processed_transcript	1	readthrough
ENST00000522212	17	protein_coding	1	readthrough
ENST00000522452	8	protein_coding	1	readthrough
ENST00000523360	16	processed_transcript	1	readthrough
ENST00000523759	X	processed_transcript	1	readthrough
ENST00000524555	11	processed_transcript	1	readthrough
ENST00000524714	11	processed_transcript	1	readthrough
ENST00000524880	11	nonsense_mediated_decay	1	readthrough
ENST00000525331	16	processed_transcript	1	readthrough
ENST00000525468	11	processed_transcript	1	readthrough
ENST00000525523	11	processed_transcript	1	readthrough
ENST00000525949	1	processed_transcript	1	readthrough
ENST00000525987	11	retained_intron	1	readthrough
ENST00000526409	11	retained_intron	1	readthrough
ENST00000526478	16	retained_intron	1	readthrough
ENST00000526587	11	processed_transcript	1	readthrough
ENST00000526893	22	protein_coding	1	readthrough
ENST00000527128	9	retained_intron	1	readthrough
ENST00000527377	11	processed_transcript	1	readthrough
ENST00000527565	11	lincRNA	1	readthrough
ENST00000527595	10	nonsense_mediated_decay	1	readthrough
ENST00000527604	1	nonsense_mediated_decay	1	readthrough
ENST00000527616	11	nonsense_mediated_decay	1	readthrough
ENST00000527729	16	protein_coding	1	readthrough
ENST00000527845	16	nonsense_mediated_decay	1	readthrough
ENST00000528054	14	protein_coding	1	readthrough
ENST00000528174	10	nonsense_mediated_decay	1	readthrough
ENST00000528251	11	protein_coding	1	readthrough
ENST00000528395	11	nonsense_mediated_decay	1	readthrough
ENST00000528405	11	protein_coding	1	readthrough
ENST00000528804	14	retained_intron	1	readthrough
ENST00000528835	11	nonsense_mediated_decay	1	readthrough
ENST00000529089	16	processed_transcript	1	readthrough
ENST00000529411	11	protein_coding	1	readthrough
ENST00000529564	16	protein_coding	1	readthrough
ENST00000529568	10	nonsense_mediated_decay	1	readthrough
ENST00000529718	16	protein_coding	1	readthrough
ENST00000529787	9	processed_transcript	1	readthrough
ENST00000530054	11	protein_coding	1	readthrough
ENST00000530079	16	processed_transcript	1	readthrough
ENST00000530122	20	nonsense_mediated_decay	1	readthrough
ENST00000530579	14	nonsense_mediated_decay	1	readthrough
ENST00000530611	14	protein_coding	1	readthrough
ENST00000530681	11	nonsense_mediated_decay	1	readthrough
ENST00000531074	11	nonsense_mediated_decay	1	readthrough
ENST00000531225	8	nonsense_mediated_decay	1	readthrough
ENST00000531744	11	nonsense_mediated_decay	1	readthrough
ENST00000531839	17	protein_coding	1	readthrough
ENST00000531894	16	processed_transcript	1	readthrough
ENST00000532219	5	protein_coding	1	readthrough
ENST00000532223	22	protein_coding	1	readthrough
ENST00000532364	16	protein_coding	1	readthrough
ENST00000532526	9	processed_transcript	1	readthrough
ENST00000532612	11	protein_coding	1	readthrough
ENST00000532699	11	nonsense_mediated_decay	1	readthrough
ENST00000532838	16	protein_coding	1	readthrough
ENST00000532967	2	protein_coding	1	readthrough
ENST00000532984	11	protein_coding	1	readthrough
ENST00000533006	1	processed_transcript	1	readthrough
ENST00000533518	16	nonsense_mediated_decay	1	readthrough
ENST00000533549	10	nonsense_mediated_decay	1	readthrough
ENST00000534081	11	retained_intron	1	readthrough
ENST00000534100	11	nonsense_mediated_decay	1	readthrough
ENST00000534123	9	processed_transcript	1	readthrough
ENST00000534348	14	protein_coding	1	readthrough
ENST00000534420	8	protein_coding	1	readthrough
ENST00000534632	1	protein_coding	1	readthrough
ENST00000534745	11	retained_intron	1	readthrough
ENST00000535064	6	processed_transcript	1	readthrough
ENST00000535431	11	protein_coding	1	readthrough
ENST00000535844	12	nonsense_mediated_decay	1	readthrough
ENST00000535846	17	processed_transcript	1	readthrough
ENST00000536588	12	nonsense_mediated_decay	1	readthrough
ENST00000536764	1	nonsense_mediated_decay	1	readthrough
ENST00000536779	1	nonsense_mediated_decay	1	readthrough
ENST00000537167	1	retained_intron	1	readthrough
ENST00000537239	9	nonsense_mediated_decay	1	readthrough
ENST00000537262	12	protein_coding	1	readthrough
ENST00000537495	12	protein_coding	1	readthrough
ENST00000537594	11	processed_transcript	1	readthrough
ENST00000537821	1	processed_transcript	1	readthrough
ENST00000538594	11	nonsense_mediated_decay	1	readthrough
ENST00000539033	12	protein_coding	1	readthrough
