transcript_id	contig	start	end
ENST00000504187	4	492999	515750
ENST00000504237	4	157555650	157563459
ENST00000504715	4	159753232	159780799
ENST00000504781	5	176941939	176943325
ENST00000505059	5	1798500	1799953
ENST00000506044	6	17780991	17797021
ENST00000506300	4	101318951	101396234
ENST00000509152	4	53198	68392
ENST00000509513	10	180643	295201
ENST00000509717	5	176314067	176318539
ENST00000510623	5	95067660	95087991
ENST00000510873	15	83657858	83680356
ENST00000511303	17	48243406	48253289
ENST00000511542	4	80146848	80246677
ENST00000512994	4	331609	377760
ENST00000513831	5	38904500	38919668
ENST00000515516	5	149737346	149779444
ENST00000517291	8	128747765	128751018
ENST00000520535	8	28205795	28209083
ENST00000521145	8	182137	195287
ENST00000521396	8	143845769	143851203
ENST00000522683	8	96037294	96048629
ENST00000523130	8	28928011	28965709
ENST00000523691	5	161116045	161117346
ENST00000523955	5	159640734	159665723
ENST00000524013	8	128748466	128753618
ENST00000524632	11	64855844	64856497
ENST00000526428	16	28663555	28668269
ENST00000526821	1	47100751	47131044
ENST00000527339	11	65313667	65315036
ENST00000527509	11	10597853	10715123
ENST00000528943	8	7300206	7320974
ENST00000529645	11	67799628	67803150
ENST00000532909	11	868395	870486
ENST00000535275	12	7028738	7031973
ENST00000536826	12	3068573	3104149
ENST00000538110	16	57060335	57095845
ENST00000538340	16	89169021	89188800
ENST00000538872	12	175931	287626
ENST00000540314	12	3068572	3103999
ENST00000543030	16	57060791	57095878
ENST00000543035	12	3068962	3127754
ENST00000546891	12	56667530	56679792
ENST00000547195	11	10594638	10715535
ENST00000549255	12	53215528	53216924
ENST00000549398	12	48884595	48890169
ENST00000550708	14	19377522	19378606
ENST00000551193	12	29474837	29493913
ENST00000552903	12	56334759	56346551
ENST00000552966	14	19553365	19584833
ENST00000554303	14	21789532	21793057
ENST00000555894	14	91007530	91084367
ENST00000557245	14	23370881	23371450
ENST00000557677	14	20271929	20296045
ENST00000558961	14	54417340	54418865
ENST00000559686	15	101824941	101827901
ENST00000561006	14	102368194	102378961
ENST00000561395	15	63349205	63358290
ENST00000562186	16	22019632	22092118
ENST00000562286	15	73052759	73075969
ENST00000563628	16	66757473	66763002
ENST00000563819	16	72142195	72146538
ENST00000564078	16	14755821	14759038
ENST00000564791	16	12223554	12621254
ENST00000566251	15	43694016	43697526
ENST00000566606	16	67465269	67470037
ENST00000566644	16	1857578	1866908
ENST00000567848	15	75113466	75118095
ENST00000568151	16	89575121	89590485
ENST00000568591	16	2156504	2167960
ENST00000569322	16	56872922	56878676
ENST00000570818	17	45232121	45249413
ENST00000571215	17	78201651	78219044
ENST00000572053	16	16196540	16208926
ENST00000573053	17	79163397	79170819
ENST00000573909	18	47225	50240
ENST00000573985	16	67916390	67918068
ENST00000574327	17	635652	643826
ENST00000574650	17	2265071	2266339
ENST00000574810	17	1549444	1552326
ENST00000577626	17	18155807	18157944
ENST00000579912	18	596988	619320
ENST00000580879	17	73222203	73229042
ENST00000581269	18	254281	268050
ENST00000582707	18	158383	211391
ENST00000582761	17	61564362	61571766
ENST00000583514	17	73569636	73571002
ENST00000583951	17	19812552	19835179
ENST00000584155	17	73230848	73231847
ENST00000585134	17	56284927	56290423
ENST00000585904	19	11339677	11346430
ENST00000585993	19	107471	111696
ENST00000586298	19	11030605	11032576
ENST00000586746	19	1086875	1095353
ENST00000587954	19	14042000	14043757
ENST00000588283	17	73908272	73913842
ENST00000588649	19	617223	633597
ENST00000588920	17	74562215	74569431
ENST00000590991	17	43516912	43522873
ENST00000591308	19	37203384	37218603
ENST00000591572	19	287474	291382
ENST00000591683	17	58124725	58132959
ENST00000591860	17	74467896	74469157
ENST00000591872	19	11033777	11034293
ENST00000592306	18	11884489	11886795
ENST00000592418	19	649679	661402
ENST00000593126	19	13255085	13260653
ENST00000594180	19	49809014	49812209
ENST00000594763	12	52709128	52709790
ENST00000595031	19	50209336	50216988
ENST00000595565	19	7991606	7997631
ENST00000595765	19	48975609	48978405
ENST00000596206	11	9481747	9482010
ENST00000596936	14	78227711	78228033
ENST00000597817	21	38888740	38888973
ENST00000598590	20	35724188	35725581
ENST00000599287	19	17007040	17010360
ENST00000599533	1	738532	739137
ENST00000600966	19	58861960	58864495
ENST00000601510	16	1031252	1031663
ENST00000601706	16	70239303	70239683
ENST00000602153	19	39923863	39924401
ENST00000606567	6	31132128	31134615
ENST00000607487	10	76855481	76868891
ENST00000607954	20	39802444	39811629
ENST00000608052	22	43536836	43538970
ENST00000608796	9	131038501	131051269
