transcript_id	classes	other_keys	json_cache_peptide_matches
ENST00000504061	peptide+predictions+protein_features		113
ENST00000504187	protein_features		both
ENST00000504237	peptide+predictions+protein_features		113
ENST00000504715	peptide+predictions+protein_features		113
ENST00000504781	peptide+predictions+protein_features		113
ENST00000505059	protein_features		both
ENST00000506044	peptide+predictions+protein_features		113
ENST00000506300	peptide+predictions+protein_features		113
ENST00000509152	protein_features		both
ENST00000509513	protein_features		both
ENST00000509717	peptide+predictions+protein_features		113
ENST00000510623	peptide+predictions+protein_features		113
ENST00000510873	peptide+predictions+protein_features		113
ENST00000511303	peptide+predictions+protein_features		113
ENST00000511542	peptide+predictions+protein_features		113
ENST00000512994	protein_features		both
ENST00000513831	peptide+predictions+protein_features		113
ENST00000515516	peptide+predictions+protein_features		113
ENST00000517291	peptide+predictions		113
ENST00000520535	peptide+predictions+protein_features		113
ENST00000521145	protein_features		both
ENST00000521396	peptide+predictions+protein_features		113
ENST00000522683	peptide+predictions+protein_features		113
ENST00000523130	peptide+predictions+protein_features		113
ENST00000523691	peptide+predictions+protein_features		113
ENST00000523955	peptide+predictions+protein_features		113
ENST00000524013	peptide+predictions		113
ENST00000524632	peptide+predictions+protein_features		113
ENST00000526428	peptide+predictions+protein_features		113
ENST00000526821	peptide+predictions+protein_features		113
ENST00000527339	peptide+predictions+protein_features		113
ENST00000527509	peptide+predictions		113
ENST00000528943	peptide+predictions+protein_features		113
ENST00000529645	peptide+predictions+protein_features		113
ENST00000532909	peptide+predictions+protein_features		113
ENST00000535275	peptide+predictions+protein_features		113
ENST00000536826	peptide+predictions		113
ENST00000538110	peptide+predictions+protein_features		113
ENST00000538340	peptide+predictions+protein_features		113
ENST00000538872	protein_features		both
ENST00000540314	peptide+predictions+protein_features		113
ENST00000543030	peptide+predictions+protein_features		113
ENST00000543035	peptide+predictions		113
ENST00000546891	peptide+predictions+protein_features		113
ENST00000547195	peptide+predictions		113
ENST00000549255	peptide+predictions+protein_features		113
ENST00000549398	peptide+predictions+protein_features		113
ENST00000550708	protein_features		both
ENST00000551193	peptide+predictions+protein_features		113
ENST00000552903	peptide+predictions+protein_features		113
ENST00000552966	protein_features		both
ENST00000554303	peptide+predictions+protein_features		113
ENST00000555894	peptide+predictions+protein_features		113
ENST00000557245	peptide+predictions+protein_features		113
ENST00000557677	protein_features		both
ENST00000558961	peptide+predictions+protein_features		113
ENST00000559686	peptide+predictions+protein_features		113
ENST00000561006	peptide+predictions+protein_features		113
ENST00000561395	peptide+predictions+protein_features		113
ENST00000562186	peptide+predictions+protein_features		113
ENST00000562286	peptide+predictions+protein_features		113
ENST00000563628	peptide+predictions+protein_features		113
ENST00000563819	peptide+predictions+protein_features		113
ENST00000564078	peptide+predictions+protein_features		113
ENST00000564791	peptide+predictions+protein_features		113
ENST00000566251	peptide+predictions+protein_features		113
ENST00000566606	peptide+predictions+protein_features		113
ENST00000566644	peptide+predictions+protein_features		113
ENST00000567848	peptide+predictions+protein_features		113
ENST00000568151	peptide+predictions+protein_features		113
ENST00000568591	peptide+predictions+protein_features		113
ENST00000569322	peptide+predictions+protein_features		113
ENST00000570818	peptide+predictions+protein_features		113
ENST00000571215	peptide+predictions+protein_features		113
ENST00000572053	peptide+predictions+protein_features		113
ENST00000573053	peptide+predictions+protein_features		113
ENST00000573909	protein_features		both
ENST00000573985	peptide+predictions+protein_features		113
ENST00000574327	protein_features		both
ENST00000574650	peptide+predictions+protein_features		113
ENST00000574810	peptide+predictions+protein_features		113
ENST00000577626	peptide+predictions+protein_features		113
ENST00000579912	protein_features		both
ENST00000580879	peptide+predictions+protein_features		113
ENST00000581269	protein_features		both
ENST00000582707	protein_features		both
ENST00000582761	peptide+predictions+protein_features		113
ENST00000583514	peptide+predictions+protein_features		113
ENST00000583951	peptide+predictions+protein_features		113
ENST00000584155	peptide+predictions+protein_features		113
ENST00000585134	peptide+predictions+protein_features		113
ENST00000585904	peptide+predictions+protein_features		113
ENST00000585993	protein_features		both
ENST00000586298	peptide+predictions+protein_features		113
ENST00000586746	protein_features		both
ENST00000587954	peptide+predictions+protein_features		113
ENST00000588283	peptide+predictions+protein_features		113
ENST00000588649	protein_features		both
ENST00000588920	peptide+predictions+protein_features		113
ENST00000590991	peptide+predictions+protein_features		113
ENST00000591308	peptide+predictions+protein_features		113
ENST00000591572	protein_features		both
ENST00000591683	peptide+predictions+protein_features		113
ENST00000591860	peptide+predictions+protein_features		113
ENST00000591872	peptide+predictions+protein_features		113
ENST00000592306	peptide+predictions+protein_features		113
ENST00000592418	peptide+predictions+protein_features		113
ENST00000593126	peptide+predictions+protein_features		113
ENST00000594180	peptide+predictions+protein_features		113
ENST00000594763	peptide+predictions+protein_features		113
ENST00000595031	peptide+predictions+protein_features		113
ENST00000595565	peptide+predictions+protein_features		113
ENST00000595765	peptide+predictions+protein_features		113
ENST00000596206	peptide+predictions+protein_features		113
ENST00000596936	peptide+predictions+protein_features		113
ENST00000597817	peptide+predictions+protein_features		113
ENST00000598590	peptide+predictions+protein_features		113
ENST00000599287	peptide+predictions+protein_features		113
ENST00000599533	protein_features		both
ENST00000600966	peptide+predictions+protein_features		113
ENST00000601510	peptide+predictions+protein_features		113
ENST00000601706	peptide+predictions+protein_features		113
ENST00000602153	peptide+predictions+protein_features		113
ENST00000606567	peptide+predictions		113
ENST00000607487	peptide+predictions+protein_features		113
ENST00000607954	peptide+predictions+protein_features		113
ENST00000608052	peptide+predictions+protein_features		113
ENST00000608796	peptide+predictions		113
